0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
2,0
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
3,0
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,22
3,23
3,24
3,25
3,26
3,27
4,0
4,1
4,2
4,3
4,4
4,5
4,6
4,24
4,25
4,26
4,27
5,0
5,1
5,2
5,3
5,4
5,25
5,26
5,27
6,0
6,1
6,2
6,3
6,4
6,26
6,27
7,0
7,1
7,2
7,3
7,26
7,27
8,0
8,1
8,2
8,3
8,26
8,27
9,0
9,1
9,2
9,26
9,27
10,0
10,1
10,2
10,3
10,25
10,26
10,27
11,0
11,1
11,2
11,3
11,25
11,26
11,27
12,0
12,1
12,2
12,3
12,25
12,26
12,27
13,0
13,1
13,2
13,3
13,25
13,26
13,27
14,0
14,1
14,2
14,3
14,25
14,26
14,27
15,0
15,1
15,2
15,3
15,25
15,26
15,27
16,0
16,1
16,2
16,3
16,25
16,26
16,27
17,0
17,1
17,2
17,3
17,25
17,26
17,27
18,0
18,1
18,2
18,3
18,25
18,26
18,27
19,0
19,1
19,2
19,25
19,26
19,27
20,0
20,1
20,2
20,25
20,26
20,27
21,0
21,1
21,2
21,25
21,26
21,27
22,0
22,1
22,2
22,3
22,24
22,25
22,26
22,27
23,0
23,1
23,2
23,3
23,23
23,24
23,25
23,26
23,27
24,0
24,1
24,2
24,3
24,4
24,22
24,23
24,24
24,25
24,26
24,27
25,0
25,1
25,2
25,3
25,4
25,5
25,6
25,21
25,22
25,23
25,24
25,25
25,26
25,27
26,0
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,19
26,20
26,21
26,22
26,23
26,24
26,25
26,26
26,27
27,0
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
27,27
